Time Interval,Browse Path,Value Source,Data Type
0,Plant1/HmiyD2TTLFNqkNe/DATE_TIME,"list(2020-05-15 00:00:00, 2020-05-15 00:15:00, 2020-05-15 00:30:00, 2020-05-15 00:45:00, 2020-05-15 01:00:00, 2020-05-15 01:15:00, 2020-05-15 01:30:00, 2020-05-15 01:45:00, 2020-05-15 02:00:00, 2020-05-15 02:15:00, 2020-05-15 02:30:00, 2020-05-15 02:45:00, 2020-05-15 03:00:00, 2020-05-15 03:15:00, 2020-05-15 03:30:00, 2020-05-15 03:45:00, 2020-05-15 04:00:00, 2020-05-15 04:15:00, 2020-05-15 04:30:00, 2020-05-15 04:45:00, 2020-05-15 05:00:00, 2020-05-15 05:15:00, 2020-05-15 05:30:00, 2020-05-15 05:45:00, 2020-05-15 06:00:00, 2020-05-15 06:15:00, 2020-05-15 06:30:00, 2020-05-15 06:45:00, 2020-05-15 07:00:00, 2020-05-15 07:15:00, 2020-05-15 07:30:00, 2020-05-15 07:45:00, 2020-05-15 08:00:00, 2020-05-15 08:15:00, 2020-05-15 08:30:00, 2020-05-15 08:45:00, 2020-05-15 09:00:00, 2020-05-15 09:15:00, 2020-05-15 09:30:00, 2020-05-15 09:45:00, 2020-05-15 10:00:00, 2020-05-15 10:15:00, 2020-05-15 10:30:00, 2020-05-15 10:45:00, 2020-05-15 11:00:00, 2020-05-15 11:15:00, 2020-05-15 11:30:00, 2020-05-15 11:45:00, 2020-05-15 12:00:00, 2020-05-15 12:15:00, 2020-05-15 12:30:00, 2020-05-15 12:45:00, 2020-05-15 13:00:00, 2020-05-15 13:15:00, 2020-05-15 13:30:00, 2020-05-15 13:45:00, 2020-05-15 14:00:00, 2020-05-15 14:15:00, 2020-05-15 14:30:00, 2020-05-15 14:45:00, 2020-05-15 15:00:00, 2020-05-15 15:15:00, 2020-05-15 15:30:00, 2020-05-15 15:45:00, 2020-05-15 16:00:00, 2020-05-15 16:15:00, 2020-05-15 16:30:00, 2020-05-15 16:45:00, 2020-05-15 17:00:00, 2020-05-15 17:15:00, 2020-05-15 17:30:00, 2020-05-15 17:45:00, 2020-05-15 18:00:00, 2020-05-15 18:15:00, 2020-05-15 18:30:00, 2020-05-15 18:45:00, 2020-05-15 19:00:00, 2020-05-15 19:15:00, 2020-05-15 19:30:00, 2020-05-15 19:45:00, 2020-05-15 20:00:00, 2020-05-15 20:15:00, 2020-05-15 20:30:00, 2020-05-15 20:45:00, 2020-05-15 21:00:00, 2020-05-15 21:15:00, 2020-05-15 21:30:00, 2020-05-15 21:45:00, 2020-05-15 22:00:00, 2020-05-15 22:15:00, 2020-05-15 22:30:00, 2020-05-15 22:45:00, 2020-05-15 23:00:00)",String
0,Plant1/HmiyD2TTLFNqkNe/AMBIENT_TEMPERATURE,"list(25.18, 25.08, 24.94, 24.85, 24.62, 24.54, 24.64, 24.87, 24.94, 25.01, 25.01, 24.99, 25.02, 24.99, 24.94, 24.88, 24.68, 24.35, 24.06, 24.01, 24.18, 24.3, 24.33, 24.29, 24.09, 24.01, 23.98, 24.22, 24.54, 24.82, 24.99, 25.22, 25.42, 25.96, 26.43, 26.83, 27.62, 27.99, 27.52, 27.45, 28.63, 28.77, 29.35, 28.85, 29.41, 30.22, 30.29, 30.81, 31.31, 31.51, 32.15, 32.39, 32.62, 32.5, 32.52, 32.68, 33.76, 34.13, 34.08, 33.7, 33.89, 34.04, 34.4, 34.43, 34.38, 34.13, 34.36, 33.86, 33.44, 33.3, 33.03, 32.31, 31.13, 29.24, 28.5, 27.88, 27.46, 27.1, 27.02, 23.79, 22.66, 23.41, 22.3, 22.04, 22.17, 22.12, 22.22, 22.24, 22.22, 22.15, 22.1, 22.06, 22.24)",Double
0,Plant1/HmiyD2TTLFNqkNe/MODULE_TEMPERATURE,"list(22.86, 22.76, 22.59, 22.36, 22.17, 21.97, 22.35, 23.16, 23.03, 23.34, 23.64, 24.04, 24.38, 24.35, 24.06, 23.71, 22.59, 21.78, 21.85, 22.31, 22.55, 22.98, 23.45, 23.1, 22.21, 22.35, 22.89, 24.44, 27.19, 28.89, 29.61, 29.55, 31.41, 35.53, 40.32, 39.08, 45.01, 46.62, 39.14, 40.93, 52.55, 47.63, 49.25, 44.05, 47.69, 50.01, 49.84, 47.84, 49.18, 49.84, 52.35, 50.63, 49.61, 47.01, 46.67, 47.52, 49.8, 55.03, 54.52, 47.62, 46.03, 44.29, 46.74, 43.92, 43.33, 41.01, 41.28, 39.42, 36.83, 35.85, 34.34, 31.55, 30.23, 28.68, 27.29, 25.96, 25.39, 25.2, 25.75, 22.51, 20.29, 20.74, 20.38, 20.31, 20.65, 20.63, 20.76, 20.91, 20.9, 20.73, 20.83, 21.07, 21.24)",Double
0,Plant1/HmiyD2TTLFNqkNe/IRRADIATION,"list(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008627210000000001, 0.005886957, 0.022281607000000002, 0.049409724, 0.095394454, 0.141940443, 0.154712676, 0.14879915300000002, 0.144793419, 0.20163862100000002, 0.34570765299999995, 0.405348573, 0.312426795, 0.623152649, 0.344884036, 0.24924839999999998, 0.5412059770000001, 0.670675372, 0.572283477, 0.455148383, 0.36196165399999997, 0.636560881, 0.585787214, 0.557069383, 0.46798686899999997, 0.5149625870000001, 0.787866029, 0.649247629, 0.7612433120000001, 0.416035101, 0.48924394600000004, 0.574561224, 0.560985624, 0.7350834629999999, 0.8936614909999999, 0.466788824, 0.542138496, 0.398888543, 0.44729214899999997, 0.565196397, 0.346230693, 0.35818237, 0.328896119, 0.344954196, 0.260346758, 0.166812741, 0.173898637, 0.08716189, 0.038403033999999996, 0.022544936, 0.009149945, 0.001841025, 0.0, 0.0, 0.0, 0.000125383, 0.00010022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",Double
